track_id,X,Y,Z
0,0.0582373,-0.450125,3.37482
1,-0.463642,-0.731148,3.00402
2,-0.0502255,-0.746048,3.29886
3,0.719865,-0.399043,3.46364
4,0.403284,-0.472903,3.4684
5,-0.535631,-0.601821,3.00093
6,0.327646,-0.879374,3.34533
7,0.0155981,-0.336011,2.04042
8,-0.288175,-0.317693,3.26313
9,-0.144605,-0.895879,3.20729
10,0.102506,-3.6521,17.0481
11,-0.300932,-0.827735,3.14128
12,0.214157,-0.387093,2.24144
13,0.666036,-0.842206,3.3807
14,-0.0628187,-0.454062,2.59408
15,0.11485,-0.3927,3.40844
16,-0.0813168,-0.348907,3.33741
17,0.982021,-2.67377,15.0216
18,0.239052,-0.442939,3.42576
19,0.798379,-0.694932,3.38747
20,0.287176,-0.66606,2.97093
21,-0.334467,-0.667229,3.17261
22,-0.37188,-0.448923,3.1804
23,0.13683,-0.905851,3.31108
24,-0.132766,-0.538288,2.50482
25,0.357273,-0.582773,3.40773
26,-0.177133,-0.594179,3.26831
27,0.0180823,-0.295623,3.41642
28,0.525912,-0.552555,3.44494
29,-0.400554,-0.291225,3.19263
30,-0.586005,-0.616997,3.66776
31,-0.529435,-0.459686,3.04562
32,0.27184,-0.723028,3.37285
33,0.29317,-0.556315,2.70156
34,0.581878,-0.433953,3.5362
35,-0.144254,-0.247817,3.33926
36,0.00508015,-0.778288,5.46338
37,-0.174274,-0.404178,3.27285
38,0.223049,-0.450564,2.17543
39,-0.546271,-0.347138,3.05864
40,0.00921379,-0.581685,3.34245
43,0.503685,-0.688012,2.82138
44,0.501951,-0.921232,3.3998
45,-0.32106,-0.516071,2.12399
46,-0.345834,-0.529143,2.45859
48,0.273251,-0.908136,3.08379
49,-0.0115641,-0.959941,3.21204
50,0.169712,-1.02573,3.27457
51,-0.55927,-0.78561,2.87935
54,0.635304,-0.946043,3.36895
55,-0.345528,-0.692169,3.07334
57,0.252204,-0.978198,3.27946
59,-0.410305,-0.87093,2.99272
60,-0.129025,-0.653941,4.49676
61,-0.172593,-0.34027,3.31497
