cloud_name,label
VID_20220217_165020_mod6_0_16.ply,5
VID_20220217_153655_mod6_0_16.ply,8
VID_20220217_182816_mod6_0_16.ply,10
VID_20220217_181455_mod6_0_14.ply,7
VID_20220217_153655_mod8_0_12.ply,8
VID_20220217_154128_mod4_2_24.ply,6
VID_20220217_175741_mod4_0_22.ply,9
VID_20220217_182816_mod8_0_12.ply,10
VID_20220217_175741_mod8_0_11.ply,9
VID_20220217_181455_mod8_0_11.ply,7
VID_20220217_154128_mod8_1_12.ply,6
VID_20220217_181455_mod4_0_21.ply,7
VID_20220217_165020_mod8_0_12.ply,5
VID_20220217_154128_mod6_1_15.ply,6
VID_20220217_175741_mod6_0_15.ply,9
VID_20220217_153655_mod4_0_24.ply,8
VID_20220217_182816_mod4_0_23.ply,10
VID_20220217_165020_mod4_0_24.ply,5
