track_id,X,Y,Z
10,-0.104122,0.106935,1.04304
13,-0.142197,-0.0402558,1.08943
15,0.131709,0.0860184,1.06522
20,-0.266508,-0.0239837,1.03699
31,0.0121177,-0.00388956,1.06429
33,-0.036484,-0.0313248,1.04084
34,-0.350962,-0.0240255,1.07946
35,0.0877822,-0.0504756,1.10606
42,-0.410447,-0.0295465,1.12386
43,-0.460406,0.0171953,1.11568
44,-0.233015,0.0755986,1.05295
45,-0.418983,0.00204136,1.0854
47,0.053331,-0.0459372,1.05388
51,-0.217203,-0.0286959,1.04604
84,-0.048659,0.0181288,1.01175
86,0.133687,-0.0618076,1.12319
94,-0.106875,0.110448,1.05041
95,-0.0737003,0.0577791,1.02741
97,-0.317197,0.0211194,1.06191
98,-0.195824,0.105582,1.07226
100,-0.17819,0.061932,1.03119
102,0.0481701,-0.0952973,1.10218
105,-0.448528,0.0564443,1.14259
106,0.106383,0.119965,1.12285
107,-0.392809,0.0522151,1.07662
112,0.0262904,0.148625,1.18572
114,-0.272914,0.0301177,1.02626
115,-0.0134773,0.0393518,1.01913
