track_id,X,Y,Z
1,-0.186068,-0.305792,1.30434
2,-0.0176756,-0.30198,1.17901
3,0.265419,-0.135519,1.27129
4,0.145983,-0.165141,1.26758
5,-0.216653,-0.24969,1.259
6,0.121117,-0.333621,1.25725
7,0.254775,-0.187104,1.22284
9,-0.0507356,-0.362171,1.25617
10,-0.264603,-0.271512,1.31978
11,-0.11251,-0.341054,1.26082
12,0.321748,-0.184182,1.26187
13,0.2436,-0.310154,1.26835
16,-0.0298228,-0.1225,1.20819
17,-0.163777,-0.242805,1.20529
19,0.292304,-0.253099,1.24798
20,0.163741,-0.293867,1.21531
21,-0.122048,-0.2831,1.17304
23,0.0520402,-0.349902,1.26273
24,0.0450163,-0.27845,1.21181
25,0.130692,-0.211099,1.2323
26,-0.0626606,-0.247679,1.15455
27,0.00466489,-0.0860359,1.29312
28,0.184207,-0.204725,1.20128
29,-0.163365,-0.0827663,1.27609
32,0.0998484,-0.272027,1.23723
33,0.222866,-0.25879,1.2208
37,-0.0609962,-0.161443,1.15421
38,0.359944,-0.235645,1.32473
39,-0.229099,-0.12167,1.27551
40,0.00315085,-0.233567,1.16608
43,0.30602,-0.293733,1.324
46,-0.0679297,-0.295291,1.21265
48,0.140971,-0.35515,1.34167
49,0.00296002,-0.328846,1.36143
51,-0.243255,-0.263693,1.41116
