,track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
0,0,0,keypoint,-9.74563,-6.8403,31.7562,VID_20220324_104624_F0.png,488,224,0.0,0.0,0.0,492.035,227.146,5.116,531.624,253.075,,
1,0,1,keypoint,-9.74563,-6.8403,31.7562,VID_20220324_104624_F-1.png,555,382,0.0,0.0,0.0,557.655,383.461,3.03072,529.461,394.093,,
2,1,0,keypoint,-9.83141,-4.74642,31.8137,VID_20220324_104624_F0.png,485,320,0.0,0.0,0.0,488.746,322.039,4.26524,532.225,341.626,,
3,1,1,keypoint,-9.83141,-4.74642,31.8137,VID_20220324_104624_F-1.png,558,442,0.0,0.0,0.0,560.431,442.686,2.52623,531.253,450.829,,
4,2,0,keypoint,-8.49806,-4.74103,33.2361,VID_20220324_104624_F0.png,568,330,0.0,0.0,0.0,570.68,331.423,3.03451,611.039,352.433,,
5,2,1,keypoint,-8.49806,-4.74103,33.2361,VID_20220324_104624_F-1.png,619,439,0.0,0.0,0.0,620.659,439.974,1.92419,591.416,447.557,,
6,3,0,keypoint,-8.37533,-6.83307,33.1145,VID_20220324_104624_F0.png,572,237,0.0,0.0,0.0,574.931,240.122,4.28225,610.871,267.484,,
7,3,1,keypoint,-8.37533,-6.83307,33.1145,VID_20220324_104624_F-1.png,615,380,0.0,0.0,0.0,616.844,380.642,1.95217,588.418,390.563,,
8,4,0,keypoint,-9.61275,-9.52444,31.6261,VID_20220324_104624_F0.png,492,99,0.0,0.0,0.0,496.549,104.232,6.93295,531.05,136.129,,
9,4,1,keypoint,-9.61275,-9.52444,31.6261,VID_20220324_104624_F-1.png,550,305,0.0,0.0,0.0,553.02,307.446,3.88666,526.298,320.942,,
10,5,0,keypoint,-9.71557,-7.44228,31.7303,VID_20220324_104624_F0.png,489,196,0.0,0.0,0.0,493.106,199.702,5.52829,531.534,227.171,,
11,5,1,keypoint,-9.71557,-7.44228,31.7303,VID_20220324_104624_F-1.png,554,365,0.0,0.0,0.0,556.707,366.411,3.0525,528.824,377.719,,
12,6,0,keypoint,-8.38371,-7.43712,33.1568,VID_20220324_104624_F0.png,572,211,0.0,0.0,0.0,575.038,214.389,4.55123,609.693,243.075,,
13,6,1,keypoint,-8.38371,-7.43712,33.1568,VID_20220324_104624_F-1.png,615,363,0.0,0.0,0.0,616.921,363.979,2.1558,588.805,374.509,,
14,7,0,keypoint,-8.26243,-9.52406,33.0412,VID_20220324_104624_F0.png,576,118,0.0,0.0,0.0,579.317,122.735,5.78128,609.78,155.502,,
15,7,1,keypoint,-8.26243,-9.52406,33.0412,VID_20220324_104624_F-1.png,611,303,0.0,0.0,0.0,613.247,304.933,2.96389,586.138,317.544,,
16,8,0,keypoint,-7.94463,3.88168,34.92,VID_20220324_104624_F0.png,612,696,0.0,0.0,0.0,613.961,695.2,2.11786,653.482,677.181,,
17,8,1,keypoint,-7.94463,3.88168,34.92,VID_20220324_104624_F-1.png,684,683,0.0,0.0,0.0,685.188,681.61,1.82892,655.073,678.893,,
18,9,0,keypoint,-7.96141,5.92285,34.9367,VID_20220324_104624_F0.png,611,781,0.0,0.0,0.0,613.391,778.863,3.20675,648.665,754.375,,
19,9,1,keypoint,-7.96141,5.92285,34.9367,VID_20220324_104624_F-1.png,687,741,0.0,0.0,0.0,688.372,739.562,1.98722,658.503,734.571,,
20,10,0,keypoint,-7.19257,5.88126,36.7446,VID_20220324_104624_F0.png,661,767,0.0,0.0,0.0,662.751,765.285,2.45049,695.111,740.594,,
21,10,1,keypoint,-7.19257,5.88126,36.7446,VID_20220324_104624_F-1.png,745,735,0.0,0.0,0.0,745.84,733.814,1.45384,716.382,729.315,,
22,11,0,keypoint,-7.13741,3.78992,36.6595,VID_20220324_104624_F0.png,663,685,0.0,0.0,0.0,664.364,684.052,1.66113,701.369,665.716,,
23,11,1,keypoint,-7.13741,3.78992,36.6595,VID_20220324_104624_F-1.png,741,676,0.0,0.0,0.0,741.625,675.48,0.812531,711.925,673.132,,
24,12,0,val_1,-5.33915,6.33114,37.8953,VID_20220324_104624_F0.png,746,777,0.0,0.0,0.0,747.004,775.334,1.94498,773.135,746.421,2.05905,
25,12,1,val_1,-5.33915,6.33114,37.8953,VID_20220324_104624_F-1.png,809,744,0.0,0.0,0.0,809.435,743.143,0.961049,779.727,738.685,2.05905,
26,13,0,val_1,-5.08661,8.30079,37.3509,VID_20220324_104624_F0.png,753,857,0.0,0.0,0.0,754.235,854.407,2.87203,775.722,821.688,,
27,13,1,val_1,-5.08661,8.30079,37.3509,VID_20220324_104624_F-1.png,805,803,0.0,0.0,0.0,805.698,800.933,2.18169,775.935,794.58,,
28,14,0,keypoint,-3.32651,8.27674,38.1815,VID_20220324_104624_F0.png,829,849,0.0,0.0,0.0,829.592,846.575,2.49607,844.594,811.744,,
29,14,1,keypoint,-3.32651,8.27674,38.1815,VID_20220324_104624_F-1.png,861,800,0.0,0.0,0.0,861.306,798.317,1.7109,831.088,792.441,,
30,15,0,keypoint,-3.60134,6.31332,38.6975,VID_20220324_104624_F0.png,820,771,0.0,0.0,0.0,820.468,769.711,1.37134,840.135,737.539,,
31,15,1,keypoint,-3.60134,6.31332,38.6975,VID_20220324_104624_F-1.png,863,741,0.0,0.0,0.0,863.191,740.193,0.829178,833.085,736.118,,
32,16,0,keypoint,-5.49444,-9.61659,38.0194,VID_20220324_104624_F0.png,740,170,0.0,0.0,0.0,741.437,173.343,3.63862,761.479,206.076,,
33,16,1,keypoint,-5.49444,-9.61659,38.0194,VID_20220324_104624_F-1.png,782,304,0.0,0.0,0.0,782.655,305.349,1.50008,755.639,315.716,,
34,17,0,keypoint,-5.57751,-7.56075,38.2026,VID_20220324_104624_F0.png,738,250,0.0,0.0,0.0,739.161,252.212,2.4981,763.029,282.404,,
35,17,1,keypoint,-5.57751,-7.56075,38.2026,VID_20220324_104624_F-1.png,788,361,0.0,0.0,0.0,788.405,361.465,0.616672,760.706,370.092,,
36,18,0,keypoint,-3.86637,-7.56092,39.1154,VID_20220324_104624_F0.png,811,257,0.0,0.0,0.0,811.588,258.826,1.91793,829.466,291.45,,
37,18,1,keypoint,-3.86637,-7.56092,39.1154,VID_20220324_104624_F-1.png,842,355,0.0,0.0,0.0,842.196,355.494,0.53148,814.124,363.823,,
38,19,0,keypoint,-3.76856,-9.63728,38.9116,VID_20220324_104624_F0.png,814,177,0.0,0.0,0.0,814.653,180.893,3.94778,829.029,215.198,,
39,19,1,keypoint,-3.76856,-9.63728,38.9116,VID_20220324_104624_F-1.png,836,298,0.0,0.0,0.0,836.233,298.165,0.285074,808.778,308.186,,
40,20,0,val_2,0.621311,6.1041,39.3613,VID_20220324_104624_F0.png,988,759,0.0,0.0,0.0,987.658,758.149,0.917665,983.706,721.922,,2.06604
41,20,1,val_2,0.621311,6.1041,39.3613,VID_20220324_104624_F-1.png,972,732,0.0,0.0,0.0,971.841,730.96,1.05244,940.17,727.679,,2.06604
42,21,0,val_2,0.736334,8.13934,39.025,VID_20220324_104624_F0.png,993,837,0.0,0.0,0.0,992.394,834.813,2.26957,988.848,798.235,,
43,21,1,val_2,0.736334,8.13934,39.025,VID_20220324_104624_F-1.png,972,795,0.0,0.0,0.0,971.704,793.242,1.78255,939.963,788.199,,
44,22,0,keypoint,2.67237,8.01334,38.9902,VID_20220324_104624_F0.png,1070,833,0.0,0.0,0.0,1068.69,830.448,2.86907,1056.23,795.576,,
45,22,1,keypoint,2.67237,8.01334,38.9902,VID_20220324_104624_F-1.png,1019,792,0.0,0.0,0.0,1018.38,790.307,1.80376,985.665,785.6,,
46,23,0,keypoint,2.55995,5.99959,39.3936,VID_20220324_104624_F0.png,1064,756,0.0,0.0,0.0,1063.23,754.164,1.99178,1047.92,720.7,,
47,23,1,keypoint,2.55995,5.99959,39.3936,VID_20220324_104624_F-1.png,1020,727,0.0,0.0,0.0,1019.55,726.825,0.48659,986.985,723.854,,
48,24,0,keypoint,13.1741,3.01443,35.8265,VID_20220324_104624_F0.png,1540,659,0.0,0.0,0.0,1528.23,656.473,12.0422,1486.43,647.549,,
49,24,1,keypoint,13.1741,3.01443,35.8265,VID_20220324_104624_F-1.png,1253,617,0.0,0.0,0.0,1250.18,616.456,2.86817,1209.24,617.112,,
50,25,0,keypoint,13.121,5.08651,35.7123,VID_20220324_104624_F0.png,1540,744,0.0,0.0,0.0,1527.75,740.02,12.882,1487.65,725.513,,
51,25,1,keypoint,13.121,5.08651,35.7123,VID_20220324_104624_F-1.png,1256,698,0.0,0.0,0.0,1252.7,696.278,3.72507,1211.52,694.983,,
52,26,0,keypoint,15.0642,5.13096,35.6288,VID_20220324_104624_F0.png,1629,747,0.0,0.0,0.0,1612.84,742.286,16.8317,1572.03,729.316,,
53,26,1,keypoint,15.0642,5.13096,35.6288,VID_20220324_104624_F-1.png,1328,698,0.0,0.0,0.0,1322.9,695.92,5.50729,1280.17,694.774,,
54,27,0,keypoint,15.1278,3.05814,35.797,VID_20220324_104624_F0.png,1628,661,0.0,0.0,0.0,1612.52,658.322,15.7099,1570.46,650.388,,
