,nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
0,0.0,32.0,0.0,12.0,4.0,0.19615394505237763,0.4,4.0
1,0.0,32.0,1.0,16.0,4.0,0.2518911844256902,0.4,4.0
2,0.0,32.0,2.0,8.0,0.0,inf,0.4,4.0
3,0.0,32.0,3.0,11.0,4.0,0.22582367903002834,0.4,4.0
4,0.0,32.0,4.0,9.0,3.0,0.08170601557743384,0.4,4.0
5,0.0,32.0,5.0,19.0,6.0,0.18470682665927554,0.4,4.0
6,0.0,32.0,6.0,11.0,5.0,0.19722022291261385,0.4,4.0
7,0.0,32.0,7.0,18.0,5.0,0.18553374865627187,0.4,4.0
8,0.0,32.0,8.0,18.0,0.0,inf,0.4,4.0
9,0.0,32.0,9.0,15.0,5.0,0.20459303026005735,0.4,4.0
10,0.0,32.0,10.0,14.0,4.0,0.12038247648943871,0.4,4.0
11,0.0,32.0,11.0,21.0,5.0,0.2233634118931975,0.4,4.0
12,0.0,32.0,12.0,18.0,0.0,inf,0.4,4.0
13,0.0,32.0,13.0,16.0,6.0,0.2078436388316117,0.4,4.0
14,0.0,32.0,14.0,7.0,3.0,0.09274451884854397,0.4,4.0
15,0.0,32.0,15.0,12.0,4.0,0.1938488035158541,0.4,4.0
16,0.0,32.0,16.0,15.0,7.0,0.326406091548214,0.4,4.0
17,0.0,32.0,17.0,14.0,5.0,0.24911645043291988,0.4,4.0
18,0.0,32.0,18.0,13.0,5.0,0.18620926227534218,0.4,4.0
19,0.0,32.0,19.0,13.0,5.0,0.2101349118787145,0.4,4.0
20,0.0,32.0,20.0,8.0,4.0,0.17667938774141848,0.4,4.0
21,0.0,32.0,21.0,9.0,4.0,0.1980348479167627,0.4,4.0
22,0.0,32.0,22.0,9.0,4.0,0.17333502724953834,0.4,4.0
23,0.0,32.0,23.0,17.0,6.0,0.2951722768736479,0.4,4.0
24,0.0,32.0,24.0,8.0,4.0,0.28018052439579827,0.4,4.0
25,0.0,32.0,25.0,15.0,5.0,0.23689975813290676,0.4,4.0
26,0.0,32.0,26.0,7.0,4.0,0.12449464494671496,0.4,4.0
27,0.0,32.0,27.0,7.0,4.0,0.21051744699376793,0.4,4.0
28,0.0,32.0,28.0,7.0,3.0,0.21340271798101043,0.4,4.0
29,0.0,32.0,29.0,15.0,0.0,inf,0.4,4.0
30,0.0,32.0,30.0,8.0,0.0,inf,0.4,4.0
31,0.0,32.0,31.0,14.0,6.0,0.24486567636858453,0.4,4.0
32,0.0,32.0,32.0,18.0,5.0,0.2370470385032291,0.4,4.0
33,0.0,32.0,33.0,11.0,4.0,0.20988738122637338,0.4,4.0
