,nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
0,0.0,32.0,0.0,12.0,9.0,0.7449153824208495,1.0,4.0
1,0.0,32.0,1.0,16.0,9.0,0.8874197057645604,1.0,4.0
2,0.0,32.0,2.0,8.0,0.0,inf,1.0,4.0
3,0.0,32.0,3.0,11.0,10.0,0.8318361642174299,1.0,4.0
4,0.0,32.0,4.0,9.0,9.0,0.8195791495336181,1.0,4.0
5,0.0,32.0,5.0,19.0,13.0,0.8087459108927106,1.0,4.0
6,0.0,32.0,6.0,11.0,10.0,0.8285218790638565,1.0,4.0
7,0.0,32.0,7.0,18.0,15.0,0.8889500234499027,1.0,4.0
8,0.0,32.0,8.0,18.0,0.0,inf,1.0,4.0
9,0.0,32.0,9.0,15.0,13.0,0.9130390630459412,1.0,4.0
10,0.0,32.0,10.0,14.0,12.0,0.9017476447678509,1.0,4.0
11,0.0,32.0,11.0,21.0,15.0,0.7122973091788755,1.0,4.0
12,0.0,32.0,12.0,18.0,0.0,inf,1.0,4.0
13,0.0,32.0,13.0,16.0,13.0,0.7905676769641244,1.0,4.0
14,0.0,32.0,14.0,7.0,7.0,1.012554977985342,1.0,4.0
15,0.0,32.0,15.0,12.0,10.0,0.8416575939538894,1.0,4.0
16,0.0,32.0,16.0,15.0,12.0,0.8332610071844573,1.0,4.0
17,0.0,32.0,17.0,14.0,11.0,0.8441741575352798,1.0,4.0
18,0.0,32.0,18.0,13.0,12.0,0.8221296051578969,1.0,4.0
19,0.0,32.0,19.0,13.0,12.0,0.7709257756865189,1.0,4.0
20,0.0,32.0,20.0,8.0,8.0,0.9208595030025752,1.0,4.0
21,0.0,32.0,21.0,9.0,9.0,0.8129675139735812,1.0,4.0
22,0.0,32.0,22.0,9.0,9.0,0.7528888683540992,1.0,4.0
23,0.0,32.0,23.0,17.0,12.0,0.8737975883727872,1.0,4.0
24,0.0,32.0,24.0,8.0,9.0,0.8186576700812318,1.0,4.0
25,0.0,32.0,25.0,15.0,13.0,0.832222704082199,1.0,4.0
26,0.0,32.0,26.0,7.0,8.0,0.7675930217488143,1.0,4.0
27,0.0,32.0,27.0,7.0,8.0,0.8456790355887863,1.0,4.0
28,0.0,32.0,28.0,7.0,7.0,0.7704924841244274,1.0,4.0
29,0.0,32.0,29.0,15.0,0.0,inf,1.0,4.0
30,0.0,32.0,30.0,8.0,0.0,inf,1.0,4.0
31,0.0,32.0,31.0,14.0,11.0,0.8088829695989221,1.0,4.0
32,0.0,32.0,32.0,18.0,17.0,0.8095471468155084,1.0,4.0
33,0.0,32.0,33.0,11.0,11.0,0.7535417872281636,1.0,4.0
34,0.0,32.0,34.0,10.0,11.0,0.8098612839066244,1.0,4.0
35,0.0,32.0,35.0,11.0,10.0,0.8373550156142386,1.0,4.0
36,0.0,32.0,36.0,15.0,12.0,0.7970694580131639,1.0,4.0
37,0.0,32.0,37.0,12.0,10.0,0.704676874690899,1.0,4.0
38,0.0,32.0,38.0,10.0,0.0,inf,1.0,4.0
39,0.0,32.0,39.0,11.0,9.0,0.6427643642978945,1.0,4.0
40,0.0,32.0,40.0,14.0,11.0,0.7577474745556231,1.0,4.0
41,0.0,32.0,41.0,11.0,11.0,0.8544367422096161,1.0,4.0
42,0.0,32.0,42.0,17.0,13.0,0.8391281412459338,1.0,4.0
43,0.0,32.0,43.0,15.0,12.0,0.8297445566499078,1.0,4.0
44,0.0,32.0,44.0,17.0,12.0,0.838540939055247,1.0,4.0
45,0.0,32.0,45.0,18.0,12.0,0.7315672763251513,1.0,4.0
46,0.0,32.0,46.0,11.0,9.0,0.8689243478007177,1.0,4.0
47,0.0,32.0,47.0,11.0,11.0,0.7431739214978302,1.0,4.0
48,0.0,32.0,48.0,10.0,10.0,0.7989162091831784,1.0,4.0
49,0.0,32.0,49.0,8.0,9.0,0.8736385687984534,1.0,4.0
50,0.0,32.0,50.0,18.0,14.0,0.8296075739194267,1.0,4.0
51,0.0,32.0,51.0,14.0,12.0,0.9751818337839141,1.0,4.0
52,0.0,32.0,52.0,14.0,13.0,0.7360451613776018,1.0,4.0
53,0.0,32.0,53.0,16.0,14.0,0.8693946274862838,1.0,4.0
54,0.0,32.0,54.0,7.0,0.0,inf,1.0,4.0
55,0.0,32.0,55.0,10.0,11.0,0.919336316253325,1.0,4.0
56,0.0,32.0,56.0,13.0,11.0,0.8234167147869906,1.0,4.0
57,0.0,32.0,57.0,11.0,10.0,0.7242856956519165,1.0,4.0
58,0.0,32.0,58.0,8.0,9.0,0.7873183723189349,1.0,4.0
59,0.0,32.0,59.0,16.0,13.0,0.7587168190499558,1.0,4.0
