nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,label,rmse,radio,giros
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_0_6.ply, 31, 31, True, 4.4308924609726125e-16, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_1_7.ply, 30, 12, True, 0.019828378993889145, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_2_8.ply, 31, 5, True, 0.026649788307639505, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_3_9.ply, 28, 18, True, 0.01732660229220819, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_4_10.ply, 33, 10, True, 0.02127716084738195, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_5_11.ply, 29, 12, True, 0.024749099563778788, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_6_12.ply, 30, 14, True, 0.015506742591559531, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_7_13.ply, 23, 10, True, 0.012525970909131837, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_8_14.ply, 27, 11, True, 0.017364847165888393, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_9_15.ply, 22, 4, True, 0.04127808107332869, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_10_16.ply, 21, 7, True, 0.011011002742167084, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_11_17.ply, 21, 5, True, 0.0131429874632351, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_12_18.ply, 23, 8, True, 0.01048796396801023, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_13_19.ply, 25, 5, True, 0.01837767275351098, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_14_20.ply, 26, 7, True, 0.022225598490677685, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_15_21.ply, 25, 5, True, 0.008754615550215814, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_16_22.ply, 24, 4, True, 0.015653506797777477, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_17_23.ply, 25, 4, True, 0.021344796012493433, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_18_24.ply, 27, 5, True, 0.03672076579787222, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_0_7.ply, 34, 10, True, 0.035279905199282736, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_1_8.ply, 32, 9, True, 0.046288786846168405, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_2_9.ply, 26, 6, True, 0.019986153711443733, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_3_10.ply, 29, 14, True, 0.012451598637554372, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_4_11.ply, 28, 4, True, 0.015018790794424138, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_5_12.ply, 29, 14, True, 0.014217806803369815, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_6_13.ply, 25, 5, True, 0.02401492734271556, 0.2, 8.0
VID_20220217_101324_mod4_0_6.ply, 31, VID_20220217_101324_mod4_7_14.ply, 24, 12, True, 0.012450118685116546, 0.2, 8.0
