,subnube1,tamaño_subnube1,subnube2,tamaño_subnube2,matcheos,overlap,rmse,radio,giros,nube_completa
0,0.0,5.0,0.0,5.0,5.0,5.0,4.928008457067754e-16,0.1,4.0,14.0
1,0.0,5.0,0.0,5.0,5.0,5.0,4.928008457067754e-16,0.2,4.0,14.0
2,0.0,5.0,0.0,5.0,5.0,5.0,4.2599795750532185e-16,0.3,4.0,14.0
3,0.0,5.0,0.0,5.0,5.0,5.0,4.928008457067754e-16,0.4,4.0,14.0
4,0.0,5.0,0.0,5.0,5.0,5.0,6.58388848091669e-16,0.5,4.0,14.0
5,0.0,5.0,0.0,5.0,5.0,5.0,3.6838581366427204e-16,1.0,4.0,14.0
6,0.0,5.0,1.0,5.0,2.0,3.0,0.07537123876239654,0.1,4.0,14.0
7,0.0,5.0,1.0,5.0,2.0,3.0,0.07537123876239654,0.2,4.0,14.0
8,0.0,5.0,1.0,5.0,2.0,3.0,0.07537123876239654,0.3,4.0,14.0
9,0.0,5.0,1.0,5.0,3.0,3.0,0.22596735804273563,0.4,4.0,14.0
10,0.0,5.0,1.0,5.0,3.0,3.0,0.22596735804273563,0.5,4.0,14.0
11,0.0,5.0,1.0,5.0,5.0,3.0,0.8575794669656818,1.0,4.0,14.0
12,0.0,5.0,2.0,5.0,4.0,4.0,6.319442750252219e-16,0.1,4.0,14.0
13,0.0,5.0,2.0,5.0,4.0,4.0,3.3030776958839195e-16,0.2,4.0,14.0
14,0.0,5.0,2.0,5.0,4.0,4.0,6.319442750252219e-16,0.3,4.0,14.0
15,0.0,5.0,2.0,5.0,4.0,4.0,3.3030776958839195e-16,0.4,4.0,14.0
16,0.0,5.0,2.0,5.0,4.0,4.0,3.3030776958839195e-16,0.5,4.0,14.0
17,0.0,5.0,2.0,5.0,4.0,4.0,0.8130044028346379,1.0,4.0,14.0
18,0.0,5.0,3.0,5.0,4.0,4.0,5.63955188135999e-16,0.1,4.0,14.0
19,0.0,5.0,3.0,5.0,4.0,4.0,7.305928511504404e-16,0.2,4.0,14.0
20,0.0,5.0,3.0,5.0,4.0,4.0,5.63955188135999e-16,0.3,4.0,14.0
21,0.0,5.0,3.0,5.0,4.0,4.0,8.373572287953761e-16,0.4,4.0,14.0
22,0.0,5.0,3.0,5.0,4.0,4.0,7.305928511504404e-16,0.5,4.0,14.0
