,track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
0,0,0,keypoint,-8.35703,-3.61652,32.1036,VID_20220324_131950_F0.png,561,373,0.0,0.0,0.0,563.573,374.415,2.93626,607.483,392.146,,
1,0,1,keypoint,-8.35703,-3.61652,32.1036,VID_20220324_131950_F-1.png,471,500,0.0,0.0,0.0,474.575,500.038,3.57515,443.351,508.068,,
2,1,0,keypoint,-8.49215,-1.52037,31.8958,VID_20220324_131950_F0.png,552,467,0.0,0.0,0.0,554.461,467.556,2.52328,601.864,475.476,,
3,1,1,keypoint,-8.49215,-1.52037,31.8958,VID_20220324_131950_F-1.png,466,564,0.0,0.0,0.0,469.671,563.546,3.69867,437.709,569.269,,
4,2,0,keypoint,-7.08736,-1.27109,33.2864,VID_20220324_131950_F0.png,635,481,0.0,0.0,0.0,636.37,481.145,1.37711,681.789,488.746,,
5,2,1,keypoint,-7.08736,-1.27109,33.2864,VID_20220324_131950_F-1.png,533,567,0.0,0.0,0.0,535.719,566.875,2.72172,503.769,572.046,,
6,3,0,keypoint,-6.98244,-3.34751,33.5267,VID_20220324_131950_F0.png,642,392,0.0,0.0,0.0,643.52,392.769,1.70374,684.832,411.25,,
7,3,1,keypoint,-6.98244,-3.34751,33.5267,VID_20220324_131950_F-1.png,538,504,0.0,0.0,0.0,540.632,504.302,2.64971,509.354,511.604,,
8,4,0,keypoint,-7.89448,-11.6939,33.0454,VID_20220324_131950_F0.png,593,22,0.0,0.0,0.0,596.469,28.675,7.52245,622.476,64.6233,,
9,4,1,keypoint,-7.89448,-11.6939,33.0454,VID_20220324_131950_F-1.png,492,259,0.0,0.0,0.0,495.875,261.96,4.87641,468.595,277.033,,
10,5,0,keypoint,-8.03996,-9.6085,32.8323,VID_20220324_131950_F0.png,584,112,0.0,0.0,0.0,587.281,116.42,5.50439,617.303,149.9,,
11,5,1,keypoint,-8.03996,-9.6085,32.8323,VID_20220324_131950_F-1.png,487,320,0.0,0.0,0.0,490.82,322.721,4.68975,462.458,336.248,,
12,6,0,keypoint,-6.69838,-9.33081,34.2863,VID_20220324_131950_F0.png,661,142,0.0,0.0,0.0,663.332,145.816,4.47215,689.458,179.775,,
13,6,1,keypoint,-6.69838,-9.33081,34.2863,VID_20220324_131950_F-1.png,553,326,0.0,0.0,0.0,555.92,328.252,3.68802,527.23,340.792,,
14,7,0,keypoint,-6.589,-11.4455,34.5405,VID_20220324_131950_F0.png,668,55,0.0,0.0,0.0,670.405,60.9343,6.4031,692.591,96.8967,,
15,7,1,keypoint,-6.589,-11.4455,34.5405,VID_20220324_131950_F-1.png,558,265,0.0,0.0,0.0,560.993,267.363,3.81325,533.33,281.422,,
16,8,0,keypoint,-6.80221,4.94722,34.2863,VID_20220324_131950_F0.png,657,744,0.0,0.0,0.0,658.682,742.687,2.13332,694.912,718.099,,
17,8,1,keypoint,-6.80221,4.94722,34.2863,VID_20220324_131950_F-1.png,577,755,0.0,0.0,0.0,579.707,752.719,3.54007,547.423,751.086,,
18,9,0,keypoint,-6.5557,6.97971,33.9741,VID_20220324_131950_F0.png,665,833,0.0,0.0,0.0,667.026,830.334,3.3485,697.978,799.583,,
