,track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
0,0,0,keypoint,-14.3879,1.27166,29.4752,VID_20220324_172826_F10.png,287,604,0.0,0.0,0.0,290.921,604.079,3.92219,339.33,600.085,,
1,0,1,keypoint,-14.3879,1.27166,29.4752,VID_20220324_172826_F-1.png,409,684,0.0,0.0,0.0,410.316,683.257,1.5116,373.487,692.115,,
2,1,0,keypoint,-14.457,3.30865,29.1681,VID_20220324_172826_F10.png,275,699,0.0,0.0,0.0,280.163,698.063,5.24753,328.034,687.836,,
3,1,1,keypoint,-14.457,3.30865,29.1681,VID_20220324_172826_F-1.png,406,758,0.0,0.0,0.0,407.589,757.036,1.85835,369.968,763.07,,
4,2,0,keypoint,-12.7115,3.54282,29.8329,VID_20220324_172826_F10.png,378,706,0.0,0.0,0.0,379.793,705.178,1.97238,426.044,693.145,,
5,2,1,keypoint,-12.7115,3.54282,29.8329,VID_20220324_172826_F-1.png,461,763,0.0,0.0,0.0,462.164,762.751,1.19035,423.671,768.462,,
6,3,0,keypoint,-12.617,1.4935,30.1384,VID_20220324_172826_F10.png,389,613,0.0,0.0,0.0,390.471,612.652,1.51134,437.669,607.437,,
7,3,1,keypoint,-12.617,1.4935,30.1384,VID_20220324_172826_F-1.png,464,687,0.0,0.0,0.0,465.054,686.967,1.05406,427.271,695.413,,
8,4,0,keypoint,-13.7051,-6.69092,29.8417,VID_20220324_172826_F10.png,327,244,0.0,0.0,0.0,332.279,246.603,5.886,375.413,266.26,,
9,4,1,keypoint,-13.7051,-6.69092,29.8417,VID_20220324_172826_F-1.png,394,397,0.0,0.0,0.0,395.814,398.291,2.22619,362.871,416.669,,
10,5,0,keypoint,-13.9265,-4.63248,29.8146,VID_20220324_172826_F10.png,317,337,0.0,0.0,0.0,321.045,338.644,4.36616,366.633,352.799,,
11,5,1,keypoint,-13.9265,-4.63248,29.8146,VID_20220324_172826_F-1.png,400,472,0.0,0.0,0.0,401.47,472.499,1.5521,367.419,488.674,,
12,6,0,keypoint,-12.1088,-4.43045,30.3482,VID_20220324_172826_F10.png,417,350,0.0,0.0,0.0,418.605,351.197,2.00197,462.93,366.336,,
13,6,1,keypoint,-12.1088,-4.43045,30.3482,VID_20220324_172826_F-1.png,451,471,0.0,0.0,0.0,452.052,471.021,1.05209,416.674,486.71,,
14,7,0,keypoint,-11.9123,-6.50721,30.3554,VID_20220324_172826_F10.png,426,258,0.0,0.0,0.0,428.012,259.768,2.67837,469.424,280.884,,
15,7,1,keypoint,-11.9123,-6.50721,30.3554,VID_20220324_172826_F-1.png,444,394,0.0,0.0,0.0,445.216,394.421,1.28646,410.877,412.346,,
16,8,0,keypoint,-11.5878,-1.09502,31.022,VID_20220324_172826_F10.png,454,499,0.0,0.0,0.0,455.072,499.197,1.09013,501.041,503.252,,
17,8,1,keypoint,-11.5878,-1.09502,31.022,VID_20220324_172826_F-1.png,502,588,0.0,0.0,0.0,502.882,588.029,0.882467,465.867,599.525,,
18,9,0,keypoint,-11.7207,0.957581,31.028,VID_20220324_172826_F10.png,448,588,0.0,0.0,0.0,449.042,587.658,1.09664,495.053,584.149,,
19,9,1,keypoint,-11.7207,0.957581,31.028,VID_20220324_172826_F-1.png,510,662,0.0,0.0,0.0,510.903,662.147,0.915248,473.229,671.096,,
20,10,0,keypoint,-10.1592,1.07092,32.1696,VID_20220324_172826_F10.png,537,591,0.0,0.0,0.0,537.773,590.904,0.779124,582.054,586.547,,
