,track_id,frame_id,label,X,Y,Z,img_name,x,y,r,vol_real,vol_rep,xrep,yrep,error,x1cm,y1cm,d2val1,d2val2
0,0,0,cal_1,-7.63456,-5.58852,34.7663,VID_20220324_124505_F0.png,624,304,0.0,0.0,0.0,626.115,305.482,2.58271,661.765,329.833,,
1,0,1,cal_1,-7.63456,-5.58852,34.7663,VID_20220324_124505_F-1.png,660,436,0.0,0.0,0.0,661.208,436.947,1.53542,632.603,445.313,,
2,1,0,cal_2,-7.70332,-3.5021,34.5381,VID_20220324_124505_F0.png,619,390,0.0,0.0,0.0,620.828,390.544,1.90753,661.313,407.719,,
3,1,1,cal_2,-7.70332,-3.5021,34.5381,VID_20220324_124505_F-1.png,656,494,0.0,0.0,0.0,657.128,494.747,1.35305,627.724,501.014,,
4,2,0,keypoint,-7.08129,-3.32311,36.3546,VID_20220324_124505_F0.png,663,404,0.0,0.0,0.0,664.227,404.862,1.49947,702.475,421.611,,
5,2,1,keypoint,-7.08129,-3.32311,36.3546,VID_20220324_124505_F-1.png,712,500,0.0,0.0,0.0,712.566,499.844,0.587072,683.557,505.458,,
6,3,0,keypoint,-7.01913,-5.36641,36.5594,VID_20220324_124505_F0.png,667,324,0.0,0.0,0.0,668.515,325.49,2.12474,701.891,349.301,,
7,3,1,keypoint,-7.01913,-5.36641,36.5594,VID_20220324_124505_F-1.png,715,444,0.0,0.0,0.0,715.636,444.183,0.66229,687.309,451.728,,
8,4,0,val_2,12.4587,4.62999,35.4126,VID_20220324_124505_F0.png,1515,727,0.0,0.0,0.0,1503.8,723.27,11.8069,1463.14,709.171,,2.05739
9,4,1,val_2,12.4587,4.62999,35.4126,VID_20220324_124505_F-1.png,1206,709,0.0,0.0,0.0,1203.62,707.68,2.72346,1162.61,707.265,,2.05739
10,5,0,val_2,12.3784,6.60807,34.8526,VID_20220324_124505_F0.png,1521,813,0.0,0.0,0.0,1508.94,807.628,13.2021,1470.06,788.262,,
11,5,1,val_2,12.3784,6.60807,34.8526,VID_20220324_124505_F-1.png,1197,789,0.0,0.0,0.0,1194.19,786.327,3.88113,1152.64,783.996,,
12,6,0,keypoint,14.3099,6.68674,34.9062,VID_20220324_124505_F0.png,1609,817,0.0,0.0,0.0,1593.1,810.441,17.2035,1553.23,793.058,,
13,6,1,keypoint,14.3099,6.68674,34.9062,VID_20220324_124505_F-1.png,1270,793,0.0,0.0,0.0,1265.6,790.007,5.3205,1222.59,787.803,,
14,7,0,keypoint,14.3977,4.69659,35.4466,VID_20220324_124505_F0.png,1602,730,0.0,0.0,0.0,1587.3,725.783,15.2923,1546.1,713.244,,
15,7,1,keypoint,14.3977,4.69659,35.4466,VID_20220324_124505_F-1.png,1278,710,0.0,0.0,0.0,1274.09,708.15,4.32146,1231.64,707.869,,
16,8,0,keypoint,12.6581,-0.556314,36.5232,VID_20220324_124505_F0.png,1506,514,0.0,0.0,0.0,1495.75,514.045,10.2513,1453.73,515.768,,
17,8,1,keypoint,12.6581,-0.556314,36.5232,VID_20220324_124505_F-1.png,1221,511,0.0,0.0,0.0,1219.0,511.422,2.04415,1179.48,515.689,,
18,9,0,keypoint,12.5752,1.46458,36.0955,VID_20220324_124505_F0.png,1509,595,0.0,0.0,0.0,1498.53,594.032,10.5126,1456.26,589.439,,
19,9,1,keypoint,12.5752,1.46458,36.0955,VID_20220324_124505_F-1.png,1215,587,0.0,0.0,0.0,1213.05,586.491,2.01422,1172.9,588.994,,
20,10,0,keypoint,14.5258,1.52865,36.1123,VID_20220324_124505_F0.png,1595,598,0.0,0.0,0.0,1581.25,596.548,13.8298,1538.95,592.394,,
21,10,1,keypoint,14.5258,1.52865,36.1123,VID_20220324_124505_F-1.png,1286,583,0.0,0.0,0.0,1282.53,582.649,3.49039,1240.97,585.282,,
22,11,0,keypoint,14.5914,-0.506946,36.553,VID_20220324_124505_F0.png,1590,516,0.0,0.0,0.0,1576.56,515.999,13.4435,1534.56,517.36,,
23,11,1,keypoint,14.5914,-0.506946,36.553,VID_20220324_124505_F-1.png,1291,504,0.0,0.0,0.0,1287.45,504.574,3.59249,1246.59,508.976,,
24,12,0,keypoint,12.7564,-3.18919,36.9575,VID_20220324_124505_F0.png,1504,410,0.0,0.0,0.0,1493.58,412.194,10.6501,1453.26,421.6,,
25,12,1,keypoint,12.7564,-3.18919,36.9575,VID_20220324_124505_F-1.png,1226,415,0.0,0.0,0.0,1223.6,415.842,2.5424,1184.94,422.303,,
26,13,0,keypoint,12.675,-1.1425,36.5777,VID_20220324_124505_F0.png,1506,490,0.0,0.0,0.0,1495.67,491.108,10.391,1453.85,494.626,,
27,13,1,keypoint,12.675,-1.1425,36.5777,VID_20220324_124505_F-1.png,1221,490,0.0,0.0,0.0,1218.95,489.876,2.0517,1179.59,494.651,,
28,14,0,keypoint,14.6195,-1.07194,36.6847,VID_20220324_124505_F0.png,1589,493,0.0,0.0,0.0,1575.53,493.995,13.5068,1533.77,496.852,,
29,14,1,keypoint,14.6195,-1.07194,36.6847,VID_20220324_124505_F-1.png,1293,483,0.0,0.0,0.0,1289.35,483.219,3.6543,1248.7,488.095,,
30,15,0,keypoint,14.6839,-3.12317,37.0282,VID_20220324_124505_F0.png,1586,413,0.0,0.0,0.0,1572.52,414.985,13.6227,1531.95,423.038,,
31,15,1,keypoint,14.6839,-3.12317,37.0282,VID_20220324_124505_F-1.png,1296,405,0.0,0.0,0.0,1292.01,406.688,4.33523,1252.06,413.252,,
32,16,0,keypoint,12.8325,-5.81827,37.4172,VID_20220324_124505_F0.png,1501,309,0.0,0.0,0.0,1490.19,313.005,11.5259,1452.81,328.822,,
33,16,1,keypoint,12.8325,-5.81827,37.4172,VID_20220324_124505_F-1.png,1231,321,0.0,0.0,0.0,1227.9,323.078,3.73274,1190.23,331.573,,
34,17,0,keypoint,12.7674,-3.77836,37.0644,VID_20220324_124505_F0.png,1503,387,0.0,0.0,0.0,1492.51,389.767,10.8514,1452.77,400.74,,
35,17,1,keypoint,12.7674,-3.77836,37.0644,VID_20220324_124505_F-1.png,1227,394,0.0,0.0,0.0,1224.46,394.889,2.69396,1186.02,401.817,,
36,18,0,keypoint,14.7102,-3.70434,37.1623,VID_20220324_124505_F0.png,1585,390,0.0,0.0,0.0,1571.41,393.007,13.9158,1531.33,402.425,,
37,18,1,keypoint,14.7102,-3.70434,37.1623,VID_20220324_124505_F-1.png,1298,384,0.0,0.0,0.0,1293.8,385.386,4.42345,1254.09,392.403,,
38,19,0,keypoint,14.7774,-5.74272,37.538,VID_20220324_124505_F0.png,1582,312,0.0,0.0,0.0,1568.08,316.607,14.6648,1529.94,330.437,,
39,19,1,keypoint,14.7774,-5.74272,37.538,VID_20220324_124505_F-1.png,1302,309,0.0,0.0,0.0,1297.17,311.547,5.46116,1258.27,320.117,,
