nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
0.0,31.0,0.0,34.0,30.0,0.008742824691850486,0.2,4.0
0.0,31.0,1.0,13.0,3.0,0.08234613863868238,0.2,4.0
0.0,31.0,2.0,16.0,0.0,inf,0.2,4.0
0.0,31.0,3.0,12.0,3.0,0.0823097362330126,0.2,4.0
0.0,31.0,4.0,19.0,4.0,0.1200208890877602,0.2,4.0
0.0,31.0,5.0,29.0,4.0,0.08000066099729843,0.2,4.0
0.0,31.0,6.0,31.0,4.0,0.1123267698806118,0.2,4.0
0.0,31.0,7.0,24.0,4.0,0.13473604341012552,0.2,4.0
0.0,31.0,8.0,24.0,0.0,inf,0.2,4.0
0.0,31.0,9.0,16.0,5.0,0.12285244813487499,0.2,4.0
0.0,31.0,10.0,14.0,4.0,0.12724724592089187,0.2,4.0
0.0,31.0,11.0,15.0,3.0,0.11229594647267212,0.2,4.0
0.0,31.0,12.0,19.0,4.0,0.1340458575575182,0.2,4.0
0.0,31.0,13.0,15.0,3.0,0.06916083826548018,0.2,4.0
0.0,31.0,14.0,24.0,3.0,0.1703580305163523,0.2,4.0
0.0,31.0,15.0,15.0,3.0,0.10330931788021387,0.2,4.0
0.0,31.0,16.0,15.0,3.0,0.07435443968628042,0.2,4.0
0.0,31.0,17.0,12.0,3.0,0.11147295471939402,0.2,4.0
0.0,31.0,18.0,23.0,4.0,0.06549746361121109,0.2,4.0
0.0,31.0,19.0,21.0,4.0,0.1075184395342941,0.2,4.0
0.0,31.0,20.0,26.0,5.0,0.12231096736102456,0.2,4.0
0.0,31.0,21.0,28.0,4.0,0.16773769704491787,0.2,4.0
0.0,31.0,22.0,23.0,3.0,0.03166601945683506,0.2,4.0
0.0,31.0,23.0,16.0,3.0,0.07681032776826582,0.2,4.0
0.0,31.0,24.0,11.0,3.0,0.15393935121300611,0.2,4.0
0.0,31.0,25.0,20.0,3.0,0.1019135999313324,0.2,4.0
0.0,31.0,26.0,23.0,4.0,0.11895539031303871,0.2,4.0
0.0,31.0,27.0,23.0,4.0,0.07215021157587943,0.2,4.0
0.0,31.0,28.0,22.0,4.0,0.0969355969732272,0.2,4.0
0.0,31.0,29.0,34.0,4.0,0.0760871904646556,0.2,4.0
0.0,31.0,30.0,18.0,4.0,0.13403211148916436,0.2,4.0
0.0,31.0,31.0,14.0,4.0,0.09791366341956337,0.2,4.0
0.0,31.0,32.0,29.0,3.0,0.09412183142442836,0.2,4.0
0.0,31.0,33.0,24.0,4.0,0.08226621802519607,0.2,4.0
0.0,31.0,34.0,23.0,4.0,0.09251725596887993,0.2,4.0
0.0,31.0,35.0,24.0,4.0,0.133104864380776,0.2,4.0
0.0,31.0,36.0,28.0,4.0,0.15909591208059778,0.2,4.0
0.0,31.0,37.0,27.0,3.0,0.09626408510589761,0.2,4.0
0.0,31.0,38.0,37.0,0.0,inf,0.2,4.0
0.0,31.0,39.0,15.0,4.0,0.13538885637901732,0.2,4.0
0.0,31.0,40.0,16.0,4.0,0.08314322923303301,0.2,4.0
0.0,31.0,41.0,16.0,3.0,0.06496201880131665,0.2,4.0
0.0,31.0,42.0,30.0,4.0,0.13662477947054122,0.2,4.0
0.0,31.0,43.0,19.0,4.0,0.11390903111594168,0.2,4.0
0.0,31.0,44.0,12.0,0.0,inf,0.2,4.0
0.0,31.0,45.0,15.0,4.0,0.05874677483492614,0.2,4.0
0.0,31.0,46.0,14.0,4.0,0.1298252443593681,0.2,4.0
0.0,31.0,47.0,15.0,3.0,0.06824349284952323,0.2,4.0
0.0,31.0,48.0,14.0,4.0,0.07523622928873022,0.2,4.0
0.0,31.0,49.0,24.0,4.0,0.08411487621384756,0.2,4.0
0.0,31.0,50.0,11.0,3.0,0.12549819960259725,0.2,4.0
0.0,31.0,51.0,10.0,3.0,0.10404083475854715,0.2,4.0
0.0,31.0,52.0,22.0,4.0,0.06668093397856095,0.2,4.0
0.0,31.0,53.0,13.0,3.0,0.13656217698072617,0.2,4.0
0.0,31.0,54.0,25.0,4.0,0.1255059243135837,0.2,4.0
0.0,31.0,55.0,20.0,3.0,0.04258816842234499,0.2,4.0
0.0,31.0,56.0,18.0,4.0,0.05388272462206665,0.2,4.0
0.0,31.0,57.0,22.0,3.0,0.06307141384923895,0.2,4.0
0.0,31.0,58.0,24.0,4.0,0.0949327555867964,0.2,4.0
0.0,31.0,59.0,19.0,4.0,0.1203084229191928,0.2,4.0
0.0,31.0,60.0,22.0,3.0,0.1742926013153602,0.2,4.0
0.0,31.0,61.0,29.0,4.0,0.0381329967435521,0.2,4.0
0.0,31.0,62.0,17.0,4.0,0.13436000175878213,0.2,4.0
0.0,31.0,63.0,27.0,3.0,0.10784997699337717,0.2,4.0
0.0,31.0,64.0,21.0,4.0,0.14937137290524738,0.2,4.0
