nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
0.0,31.0,0.0,34.0,31.0,0.26670605534626174,1.0,4.0
0.0,31.0,1.0,13.0,11.0,0.8178012298123785,1.0,4.0
0.0,31.0,2.0,16.0,0.0,inf,1.0,4.0
0.0,31.0,3.0,12.0,13.0,0.8436511393109242,1.0,4.0
0.0,31.0,4.0,19.0,16.0,0.9037080930447267,1.0,4.0
0.0,31.0,5.0,29.0,20.0,0.8864179159971162,1.0,4.0
0.0,31.0,6.0,31.0,17.0,0.900557322591261,1.0,4.0
0.0,31.0,7.0,24.0,17.0,0.8993628815959838,1.0,4.0
0.0,31.0,8.0,24.0,0.0,inf,1.0,4.0
0.0,31.0,9.0,16.0,13.0,1.004182571508824,1.0,4.0
0.0,31.0,10.0,14.0,14.0,0.9262618246488077,1.0,4.0
0.0,31.0,11.0,15.0,14.0,0.873798505749282,1.0,4.0
0.0,31.0,12.0,19.0,14.0,0.9205753011569202,1.0,4.0
0.0,31.0,13.0,15.0,12.0,0.8051393187935072,1.0,4.0
0.0,31.0,14.0,24.0,21.0,0.9612488632867594,1.0,4.0
0.0,31.0,15.0,15.0,12.0,0.7985609873136461,1.0,4.0
0.0,31.0,16.0,15.0,13.0,0.8871643518428476,1.0,4.0
0.0,31.0,17.0,12.0,12.0,0.9001613610549148,1.0,4.0
0.0,31.0,18.0,23.0,17.0,0.9179075737521297,1.0,4.0
0.0,31.0,19.0,21.0,18.0,0.927301325940197,1.0,4.0
0.0,31.0,20.0,26.0,19.0,0.8992544858101243,1.0,4.0
0.0,31.0,21.0,28.0,20.0,0.9281369225335796,1.0,4.0
0.0,31.0,22.0,23.0,16.0,0.906576176462539,1.0,4.0
0.0,31.0,23.0,16.0,12.0,0.8251917027819301,1.0,4.0
0.0,31.0,24.0,11.0,10.0,0.8970238989018465,1.0,4.0
0.0,31.0,25.0,20.0,15.0,0.9949384347452837,1.0,4.0
0.0,31.0,26.0,23.0,19.0,1.017176412430155,1.0,4.0
0.0,31.0,27.0,23.0,18.0,0.8883807629944271,1.0,4.0
0.0,31.0,28.0,22.0,19.0,1.0210614048028965,1.0,4.0
0.0,31.0,29.0,34.0,21.0,0.8920730701229733,1.0,4.0
0.0,31.0,30.0,18.0,13.0,0.9168815023376414,1.0,4.0
0.0,31.0,31.0,14.0,10.0,0.7572035886407064,1.0,4.0
0.0,31.0,32.0,29.0,20.0,0.9949194392039493,1.0,4.0
0.0,31.0,33.0,24.0,17.0,0.8522718405778955,1.0,4.0
0.0,31.0,34.0,23.0,16.0,0.7393357984345329,1.0,4.0
0.0,31.0,35.0,24.0,18.0,0.9499854330346199,1.0,4.0
0.0,31.0,36.0,28.0,20.0,0.9306333564655124,1.0,4.0
0.0,31.0,37.0,27.0,20.0,0.9766739796694806,1.0,4.0
0.0,31.0,38.0,37.0,0.0,inf,1.0,4.0
0.0,31.0,39.0,15.0,13.0,0.9107969854919888,1.0,4.0
0.0,31.0,40.0,16.0,12.0,0.8375710775048257,1.0,4.0
0.0,31.0,41.0,16.0,14.0,0.9515831770822105,1.0,4.0
0.0,31.0,42.0,30.0,20.0,0.8594662754618592,1.0,4.0
0.0,31.0,43.0,19.0,17.0,0.8257088755491644,1.0,4.0
0.0,31.0,44.0,12.0,0.0,inf,1.0,4.0
0.0,31.0,45.0,15.0,13.0,0.7810393492586167,1.0,4.0
0.0,31.0,46.0,14.0,12.0,1.0425361684172236,1.0,4.0
0.0,31.0,47.0,15.0,13.0,0.9089874629368107,1.0,4.0
0.0,31.0,48.0,14.0,12.0,0.8775829724539098,1.0,4.0
0.0,31.0,49.0,24.0,17.0,0.9777470509387121,1.0,4.0
0.0,31.0,50.0,11.0,10.0,0.9185138748257853,1.0,4.0
0.0,31.0,51.0,10.0,9.0,0.8747748148016695,1.0,4.0
0.0,31.0,52.0,22.0,16.0,0.8853200356973748,1.0,4.0
0.0,31.0,53.0,13.0,12.0,0.8285175875405072,1.0,4.0
0.0,31.0,54.0,25.0,18.0,0.792486872402018,1.0,4.0
0.0,31.0,55.0,20.0,14.0,0.8366292504179862,1.0,4.0
0.0,31.0,56.0,18.0,13.0,0.8768053365862265,1.0,4.0
0.0,31.0,57.0,22.0,18.0,0.8790195045062732,1.0,4.0
0.0,31.0,58.0,24.0,18.0,1.000809780275342,1.0,4.0
0.0,31.0,59.0,19.0,14.0,0.9091103305295564,1.0,4.0
0.0,31.0,60.0,22.0,15.0,0.7622502801789847,1.0,4.0
0.0,31.0,61.0,29.0,19.0,0.8188312344133543,1.0,4.0
0.0,31.0,62.0,17.0,16.0,0.8962932248299956,1.0,4.0
0.0,31.0,63.0,27.0,22.0,0.9647153478773303,1.0,4.0
0.0,31.0,64.0,21.0,16.0,0.9481667115095676,1.0,4.0
0.0,31.0,65.0,24.0,17.0,0.7847860105712842,1.0,4.0
0.0,31.0,66.0,23.0,16.0,0.8808898676447247,1.0,4.0
0.0,31.0,67.0,29.0,20.0,0.8863818413601126,1.0,4.0
0.0,31.0,68.0,21.0,16.0,0.8305771891337993,1.0,4.0
0.0,31.0,69.0,20.0,16.0,0.8858381893117792,1.0,4.0
0.0,31.0,70.0,20.0,16.0,0.8763989849986412,1.0,4.0
0.0,31.0,71.0,22.0,18.0,0.9031260374041938,1.0,4.0
0.0,31.0,72.0,24.0,17.0,0.847145054298067,1.0,4.0
0.0,31.0,73.0,13.0,12.0,0.8058947904170758,1.0,4.0
0.0,31.0,74.0,12.0,13.0,0.8614102082583774,1.0,4.0
0.0,31.0,75.0,23.0,17.0,0.8667906272543958,1.0,4.0
0.0,31.0,76.0,28.0,20.0,0.9400334427934981,1.0,4.0
0.0,31.0,77.0,24.0,18.0,0.918461263869747,1.0,4.0
0.0,31.0,78.0,25.0,16.0,0.8530072151510393,1.0,4.0
0.0,31.0,79.0,11.0,12.0,0.8904257475804098,1.0,4.0
0.0,31.0,80.0,11.0,11.0,0.9223267202438935,1.0,4.0
0.0,31.0,81.0,18.0,15.0,0.8604966516171461,1.0,4.0
0.0,31.0,82.0,19.0,15.0,0.873124298696219,1.0,4.0
0.0,31.0,83.0,22.0,17.0,0.8852224608610009,1.0,4.0
0.0,31.0,84.0,20.0,15.0,0.8749642409050962,1.0,4.0
0.0,31.0,85.0,43.0,23.0,0.8887134103459031,1.0,4.0
0.0,31.0,86.0,19.0,16.0,0.9731702920936388,1.0,4.0
0.0,31.0,87.0,27.0,20.0,0.9007780815024915,1.0,4.0
0.0,31.0,88.0,22.0,17.0,0.9429928382642462,1.0,4.0
0.0,31.0,89.0,30.0,20.0,0.8435357669416512,1.0,4.0
0.0,31.0,90.0,14.0,15.0,0.9141163591617942,1.0,4.0
0.0,31.0,91.0,26.0,21.0,0.8777380917390426,1.0,4.0
0.0,31.0,92.0,21.0,16.0,0.8693815234684942,1.0,4.0
0.0,31.0,93.0,24.0,19.0,0.9898253029788813,1.0,4.0
0.0,31.0,94.0,29.0,21.0,0.9371337986474385,1.0,4.0
0.0,31.0,95.0,13.0,11.0,0.82750705255539,1.0,4.0
0.0,31.0,96.0,25.0,17.0,0.9276291829316673,1.0,4.0
1.0,13.0,0.0,34.0,10.0,0.8963923912179459,1.0,4.0
1.0,13.0,1.0,13.0,13.0,0.36459333331849647,1.0,4.0
1.0,13.0,2.0,16.0,0.0,inf,1.0,4.0
1.0,13.0,3.0,12.0,8.0,0.6216089470289121,1.0,4.0
1.0,13.0,4.0,19.0,11.0,0.9463629554421558,1.0,4.0
1.0,13.0,5.0,29.0,12.0,0.7072555074540646,1.0,4.0
1.0,13.0,6.0,31.0,12.0,0.8702688431277118,1.0,4.0
1.0,13.0,7.0,24.0,11.0,0.8752991725485509,1.0,4.0
1.0,13.0,8.0,24.0,0.0,inf,1.0,4.0
1.0,13.0,9.0,16.0,11.0,0.6668668357033204,1.0,4.0
1.0,13.0,10.0,14.0,10.0,0.8230599362693493,1.0,4.0
1.0,13.0,11.0,15.0,11.0,0.7679096666365333,1.0,4.0
1.0,13.0,12.0,19.0,9.0,0.766621446483289,1.0,4.0
1.0,13.0,13.0,15.0,11.0,0.8110418055893563,1.0,4.0
1.0,13.0,14.0,24.0,10.0,0.8500821605121319,1.0,4.0
1.0,13.0,15.0,15.0,10.0,0.7646076878726598,1.0,4.0
1.0,13.0,16.0,15.0,12.0,0.7698348741293496,1.0,4.0
1.0,13.0,17.0,12.0,10.0,0.8163931711047715,1.0,4.0
1.0,13.0,18.0,23.0,11.0,0.8291817107689923,1.0,4.0
1.0,13.0,19.0,21.0,11.0,0.8100154471635941,1.0,4.0
1.0,13.0,20.0,26.0,11.0,0.8594637447938023,1.0,4.0
1.0,13.0,21.0,28.0,11.0,0.7525411024413274,1.0,4.0
1.0,13.0,22.0,23.0,10.0,0.776240916983135,1.0,4.0
1.0,13.0,23.0,16.0,11.0,0.7506609365485261,1.0,4.0
1.0,13.0,24.0,11.0,10.0,0.7602751706661838,1.0,4.0
1.0,13.0,25.0,20.0,10.0,0.8554865006024625,1.0,4.0
1.0,13.0,26.0,23.0,12.0,0.7460080353919054,1.0,4.0
1.0,13.0,27.0,23.0,11.0,0.7969533002657012,1.0,4.0
1.0,13.0,28.0,22.0,11.0,0.721386970873526,1.0,4.0
1.0,13.0,29.0,34.0,11.0,0.8383376111107902,1.0,4.0
1.0,13.0,30.0,18.0,11.0,0.6875078634582239,1.0,4.0
1.0,13.0,31.0,14.0,10.0,0.7773707184160134,1.0,4.0
1.0,13.0,32.0,29.0,12.0,0.8404651129382886,1.0,4.0
1.0,13.0,33.0,24.0,10.0,0.7714089422337981,1.0,4.0
1.0,13.0,34.0,23.0,11.0,0.8345513756483401,1.0,4.0
1.0,13.0,35.0,24.0,10.0,0.8734906317948093,1.0,4.0
1.0,13.0,36.0,28.0,10.0,0.7908455974535842,1.0,4.0
1.0,13.0,37.0,27.0,9.0,0.8240384049540619,1.0,4.0
1.0,13.0,38.0,37.0,0.0,inf,1.0,4.0
1.0,13.0,39.0,15.0,10.0,0.7623946378229646,1.0,4.0
1.0,13.0,40.0,16.0,11.0,0.7535368368053221,1.0,4.0
1.0,13.0,41.0,16.0,10.0,0.7692224263361347,1.0,4.0
1.0,13.0,42.0,30.0,10.0,0.8093401809777655,1.0,4.0
1.0,13.0,43.0,19.0,11.0,0.8385422932620753,1.0,4.0
1.0,13.0,44.0,12.0,0.0,inf,1.0,4.0
1.0,13.0,45.0,15.0,10.0,0.681376779673044,1.0,4.0
1.0,13.0,46.0,14.0,11.0,0.898554993737466,1.0,4.0
1.0,13.0,47.0,15.0,11.0,0.6947840251367142,1.0,4.0
1.0,13.0,48.0,14.0,9.0,0.7744934752830221,1.0,4.0
1.0,13.0,49.0,24.0,12.0,0.782474925211987,1.0,4.0
1.0,13.0,50.0,11.0,10.0,0.842785347585254,1.0,4.0
1.0,13.0,51.0,10.0,9.0,0.7061550507484692,1.0,4.0
1.0,13.0,52.0,22.0,11.0,0.7120589625929965,1.0,4.0
1.0,13.0,53.0,13.0,10.0,0.7944587356572829,1.0,4.0
1.0,13.0,54.0,25.0,11.0,0.7659063398183145,1.0,4.0
1.0,13.0,55.0,20.0,11.0,0.8966862619378965,1.0,4.0
1.0,13.0,56.0,18.0,11.0,0.8343538598959567,1.0,4.0
1.0,13.0,57.0,22.0,11.0,0.891571165393387,1.0,4.0
1.0,13.0,58.0,24.0,11.0,0.7417292287120681,1.0,4.0
