,nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
0,0.0,32.0,0.0,12.0,5.0,0.2679199606554789,0.5,4.0
1,0.0,32.0,1.0,16.0,5.0,0.3553843074970329,0.5,4.0
2,0.0,32.0,2.0,8.0,0.0,inf,0.5,4.0
3,0.0,32.0,3.0,11.0,5.0,0.35253709055295607,0.5,4.0
4,0.0,32.0,4.0,9.0,4.0,0.23940294592427386,0.5,4.0
5,0.0,32.0,5.0,19.0,7.0,0.3079970465311954,0.5,4.0
6,0.0,32.0,6.0,11.0,5.0,0.19722022291261404,0.5,4.0
7,0.0,32.0,7.0,18.0,7.0,0.45148009961842606,0.5,4.0
8,0.0,32.0,8.0,18.0,0.0,inf,0.5,4.0
9,0.0,32.0,9.0,15.0,6.0,0.3097979720191346,0.5,4.0
10,0.0,32.0,10.0,14.0,6.0,0.39125313892999286,0.5,4.0
11,0.0,32.0,11.0,21.0,6.0,0.39159559090785867,0.5,4.0
12,0.0,32.0,12.0,18.0,0.0,inf,0.5,4.0
13,0.0,32.0,13.0,16.0,6.0,0.20784363883161194,0.5,4.0
14,0.0,32.0,14.0,7.0,5.0,0.28720453979779526,0.5,4.0
15,0.0,32.0,15.0,12.0,5.0,0.29651173184901974,0.5,4.0
16,0.0,32.0,16.0,15.0,7.0,0.37048307616828263,0.5,4.0
17,0.0,32.0,17.0,14.0,6.0,0.4087581763579083,0.5,4.0
18,0.0,32.0,18.0,13.0,6.0,0.2974356272218319,0.5,4.0
19,0.0,32.0,19.0,13.0,5.0,0.2101349118787132,0.5,4.0
20,0.0,32.0,20.0,8.0,4.0,0.12301437457604453,0.5,4.0
21,0.0,32.0,21.0,9.0,5.0,0.23848653174677092,0.5,4.0
22,0.0,32.0,22.0,9.0,5.0,0.24790836716935646,0.5,4.0
23,0.0,32.0,23.0,17.0,6.0,0.2951722768736479,0.5,4.0
24,0.0,32.0,24.0,8.0,4.0,0.2640520571393576,0.5,4.0
25,0.0,32.0,25.0,15.0,5.0,0.34999865111774925,0.5,4.0
26,0.0,32.0,26.0,7.0,5.0,0.29974800881907676,0.5,4.0
27,0.0,32.0,27.0,7.0,4.0,0.21051744699376768,0.5,4.0
28,0.0,32.0,28.0,7.0,4.0,0.2725249860612789,0.5,4.0
29,0.0,32.0,29.0,15.0,0.0,inf,0.5,4.0
30,0.0,32.0,30.0,8.0,0.0,inf,0.5,4.0
31,0.0,32.0,31.0,14.0,6.0,0.24486567636858467,0.5,4.0
32,0.0,32.0,32.0,18.0,7.0,0.37829217069872384,0.5,4.0
33,0.0,32.0,33.0,11.0,6.0,0.3019146076334801,0.5,4.0
34,0.0,32.0,34.0,10.0,5.0,0.36977302580160576,0.5,4.0
35,0.0,32.0,35.0,11.0,5.0,0.34753644611176115,0.5,4.0
36,0.0,32.0,36.0,15.0,6.0,0.3251967280208044,0.5,4.0
37,0.0,32.0,37.0,12.0,5.0,0.2848878565232481,0.5,4.0
38,0.0,32.0,38.0,10.0,0.0,inf,0.5,4.0
39,0.0,32.0,39.0,11.0,5.0,0.2827629151397696,0.5,4.0
40,0.0,32.0,40.0,14.0,5.0,0.3303451465086967,0.5,4.0
41,0.0,32.0,41.0,11.0,6.0,0.33084419187387176,0.5,4.0
42,0.0,32.0,42.0,17.0,6.0,0.33734138359483756,0.5,4.0
43,0.0,32.0,43.0,15.0,6.0,0.3475968544356087,0.5,4.0
44,0.0,32.0,44.0,17.0,7.0,0.35024427258314045,0.5,4.0
45,0.0,32.0,45.0,18.0,6.0,0.32844669470256377,0.5,4.0
46,0.0,32.0,46.0,11.0,6.0,0.35021991349457043,0.5,4.0
47,0.0,32.0,47.0,11.0,5.0,0.41501249287497977,0.5,4.0
48,0.0,32.0,48.0,10.0,5.0,0.3377111730752236,0.5,4.0
49,0.0,32.0,49.0,8.0,5.0,0.3558608843235059,0.5,4.0
