,subnube1,tamaño_subnube1,subnube2,tamaño_subnube2,matcheos,overlap,rmse,radio,giros,nube_completa
0,0,5,0,5,5,5,6.3875676513819575e-16,0.1,4,26
0,0,5,0,5,5,5,6.411383046118421e-16,0.2,4,26
0,0,5,0,5,5,5,7.274097650084561e-16,0.3,4,26
0,0,5,0,5,5,5,6.551816096686281e-16,0.4,4,26
0,0,5,0,5,5,5,6.411383046118421e-16,0.5,4,26
0,0,5,0,5,5,5,6.411383046118421e-16,1.0,4,26
0,0,5,1,5,4,4,8.294304278791154e-16,0.1,4,26
0,0,5,1,5,4,4,8.294304278791154e-16,0.2,4,26
0,0,5,1,5,4,4,5.796053763344951e-16,0.3,4,26
0,0,5,1,5,4,4,5.796053763344951e-16,0.4,4,26
0,0,5,1,5,4,4,5.796053763344951e-16,0.5,4,26
0,0,5,1,5,4,4,5.796053763344951e-16,1.0,4,26
0,0,5,2,5,2,3,0.07983287162091945,0.1,4,26
0,0,5,2,5,2,3,0.07983287162091945,0.2,4,26
0,0,5,2,5,2,3,0.07983287162091945,0.3,4,26
0,0,5,2,5,2,3,0.07983287162091945,0.4,4,26
0,0,5,2,5,2,3,0.07983287162091945,0.5,4,26
0,0,5,2,5,4,3,0.624451303639301,1.0,4,26
0,0,5,3,6,4,4,3.602056842214724e-16,0.1,4,26
0,0,5,3,6,4,4,3.602056842214724e-16,0.2,4,26
0,0,5,3,6,4,4,3.602056842214724e-16,0.3,4,26
0,0,5,3,6,4,4,3.602056842214724e-16,0.4,4,26
0,0,5,3,6,5,4,0.4210046807221198,0.5,4,26
0,0,5,3,6,5,4,0.4210046807221173,1.0,4,26
0,0,5,4,6,4,4,1.0419322083273168e-15,0.1,4,26
0,0,5,4,6,4,4,1.0419322083273168e-15,0.2,4,26
0,0,5,4,6,4,4,1.0419322083273168e-15,0.3,4,26
0,0,5,4,6,4,4,1.0419322083273168e-15,0.4,4,26
0,0,5,4,6,4,4,1.0419322083273168e-15,0.5,4,26
0,0,5,4,6,4,4,0.5018362431975023,1.0,4,26
0,0,5,5,6,2,4,0.07983287162091945,0.1,4,26
0,0,5,5,6,2,4,0.07983287162091945,0.2,4,26
0,0,5,5,6,2,4,0.07983287162091945,0.3,4,26
